% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.021	1	3	3	2	1	0	81	0	0	0
0.024	1	3	3	5	1	0	81	0	0	0
0.027	1	3	3	8	1	28	2196	0	0	0
0.03	1	3	4	1	1	28	2196	0	0	0
0.033	1	3	4	4	1	28	2196	0	0	0
0.036	1	3	4	7	1	28	2196	0	0	0
0.039	1	3	4	10	1	28	2196	0	0	0
0.042	1	3	5	3	1	28	2196	0	0	0
0.045	1	3	5	6	1	28	2196	0	0	0
0.048	1	3	5	9	1	28	2196	0	0	0
0.051	1	3	6	2	1	28	2196	0	0	0
0.054	1	3	6	5	1	28	2196	0	0	0
0.057	1	3	6	8	1	28	2196	0	0	0
0.06	1	3	7	1	1	28	2196	0	0	0
0.063	1	3	7	4	1	28	2196	0	0	0
0.066	1	3	7	7	1	28	2196	0	0	0
0.069	1	3	7	10	1	28	2196	0	0	0
0.072	1	3	8	3	1	28	2196	0	0	0
0.075	1	3	8	6	1	28	2196	0	0	0
0.078	1	3	8	9	1	28	2196	0	0	0
0.081	1	3	9	2	1	28	2196	0	0	0
0.084	1	3	9	5	1	28	2196	0	0	0
0.087	1	3	9	8	1	28	2196	0	0	0
0.09	1	3	10	1	1	28	2196	0	0	0
0.093	1	3	10	4	1	28	2196	0	0	0
0.096	1	3	10	7	1	28	2196	0	0	0
0.099	1	3	10	10	1	28	2196	0	0	0
0.102	1	3	11	3	1	28	2196	0	0	0
0.105	1	3	11	6	1	28	2196	0	0	0
0.108	1	3	11	9	1	28	2196	0	0	0
0.111	1	3	12	2	1	28	2196	0	0	0
0.114	1	3	12	5	1	28	2196	0	0	0
0.117	1	3	12	8	1	28	2196	0	0	0
0.12	1	3	13	1	1	28	2196	0	0	0
0.123	1	3	13	4	1	28	2196	0	0	0
0.126	1	3	13	7	1	28	2196	0	0	0
0.129	1	3	13	10	1	28	2196	0	0	0
0.132	1	3	14	3	1	28	2196	0	0	0
0.135	1	3	14	6	1	28	2196	0	0	0
0.138	1	3	14	9	1	28	2196	0	0	0
0.141	1	3	15	2	1	28	2196	0	0	0
0.144	1	3	15	5	1	28	2196	0	0	0
0.147	1	3	15	8	1	28	2196	0	0	0
0.15	1	3	16	1	1	28	2196	0	0	0
0.153	1	3	16	4	1	28	2196	0	0	0
0.156	1	3	16	7	1	28	2196	0	0	0
0.159	1	3	16	10	1	28	2196	0	0	0
0.162	1	3	17	3	1	28	2196	0	0	0
0.165	1	3	17	6	1	28	2196	0	0	0
0.168	1	3	17	9	1	28	2196	0	0	0
0.171	1	3	18	2	1	28	2196	0	0	0
0.174	1	3	18	5	1	28	2196	0	0	0
0.177	1	3	18	8	1	28	2196	0	0	0
0.18	1	3	19	1	1	28	2196	0	0	0
0.183	1	3	19	4	1	28	2196	0	0	0
0.186	1	3	19	7	1	28	2196	0	0	0
0.189	1	3	19	10	1	28	2196	0	0	0
0.192	1	3	20	3	1	28	2196	0	0	0
0.195	1	3	20	6	1	28	2196	0	0	0
0.198	1	3	20	9	1	28	2196	0	0	0
0.201	1	3	21	2	1	28	2196	0	0	0
0.204	1	3	21	5	1	28	2196	0	0	0
0.207	1	3	21	8	1	28	2196	0	0	0
0.21	1	3	22	1	1	28	2196	0	0	0
0.213	1	3	22	4	1	28	2196	0	0	0
0.216	1	3	22	7	1	28	2196	0	0	0
0.219	1	3	22	10	1	28	2196	0	0	0
0.222	1	3	23	3	1	28	2196	0	0	0
0.225	1	3	23	6	1	28	2196	0	0	0
0.228	1	3	23	9	1	28	2196	0	0	0
0.231	1	3	24	2	1	28	2196	0	0	0
0.234	1	3	24	5	1	28	2196	0	0	0
0.237	1	3	24	8	1	28	2196	0	0	0
0.24	1	3	25	1	1	28	2196	0	0	0
0.243	1	3	25	4	1	28	2196	0	0	0
0.246	1	3	25	7	1	28	2196	0	0	0
0.249	1	3	25	10	1	28	2196	0	0	0
0.252	1	3	26	3	1	28	2196	0	0	0
0.255	1	3	26	6	1	28	2196	0	0	0
0.258	1	3	26	9	1	28	2196	0	0	0
0.261	1	3	27	2	1	28	2196	0	0	0
0.264	1	3	27	5	1	28	2196	0	0	0
0.267	1	3	27	8	1	28	2196	0	0	0
0.27	1	3	28	1	1	28	2196	0	0	0
0.273	1	3	28	4	1	28	2196	0	0	0
0.276	1	3	28	7	1	28	2196	0	0	0
0.279	1	3	28	10	1	28	2196	0	0	0
0.282	1	3	29	3	1	28	2196	0	0	0
0.285	1	3	29	6	1	28	2196	0	0	0
0.288	1	3	29	9	1	28	2196	0	0	0
0.291	1	3	30	2	1	28	2196	0	0	0
0.294	1	3	30	5	1	28	2196	0	0	0
0.297	1	3	30	8	1	28	2196	0	0	0
0.3	1	3	31	1	1	28	2196	0	0	0
0.303	1	3	31	4	1	28	2196	0	0	0
0.306	1	3	31	7	1	28	2196	0	0	0
0.309	1	3	31	10	1	28	2196	0	0	0
0.312	1	3	32	3	1	28	2196	0	0	0
0.315	1	3	32	6	1	28	2196	0	0	0
0.318	1	3	32	9	1	28	2196	0	0	0
0.321	1	3	33	2	1	28	2196	0	0	0
0.324	1	3	33	5	1	28	2196	0	0	0
0.327	1	3	33	8	1	28	2196	0	0	0
0.33	1	3	34	1	1	28	2196	0	0	0
0.333	1	3	34	4	1	28	2196	0	0	0
0.336	1	3	34	7	1	28	2196	0	0	0
0.339	1	3	34	10	1	28	2196	0	0	0
0.342	1	3	35	3	1	28	2196	0	0	0
0.345	1	3	35	6	1	28	2196	0	0	0
0.348	1	3	35	9	1	28	2196	0	0	0
